Cornell
Graph has fewer than 500000 nodes; don't do graph partition
Run: 0
*Epoch 0, model saved with Loss: 1.7436, Train F1: 0.5977, Val F1: 0.5593, Test F1: 0.5946
*Epoch 65, model saved with Loss: 0.1531, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 66, model saved with Loss: 0.1571, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 67, model saved with Loss: 0.1624, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 68, model saved with Loss: 0.1531, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
Epoch 100, Loss: 0.0786, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7568
*Epoch 125, model saved with Loss: 0.0651, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 126, model saved with Loss: 0.0597, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 127, model saved with Loss: 0.0679, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 128, model saved with Loss: 0.0648, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 158, model saved with Loss: 0.0453, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 187, model saved with Loss: 0.0421, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 188, model saved with Loss: 0.0449, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 189, model saved with Loss: 0.0546, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 190, model saved with Loss: 0.0400, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 191, model saved with Loss: 0.0608, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 192, model saved with Loss: 0.0455, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 193, model saved with Loss: 0.0404, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 194, model saved with Loss: 0.0519, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 195, model saved with Loss: 0.0329, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 196, model saved with Loss: 0.0514, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 197, model saved with Loss: 0.0512, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 198, model saved with Loss: 0.0503, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 199, model saved with Loss: 0.0428, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 200, model saved with Loss: 0.0386, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
Epoch 200, Loss: 0.0386, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 201, model saved with Loss: 0.0412, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 202, model saved with Loss: 0.0408, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 203, model saved with Loss: 0.0471, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 204, model saved with Loss: 0.0616, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 205, model saved with Loss: 0.0496, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 206, model saved with Loss: 0.0474, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 207, model saved with Loss: 0.0882, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 208, model saved with Loss: 0.0636, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7838
Mean epoch time of run 0.0133
Iteration:  250
Best Test F1 throughout: 0.7838
Loading best model for final evaluation at val: 0.7797
Best Test F1 after loading saved model: 0.7838
Run: 1
*Epoch 0, model saved with Loss: 2.4741, Train F1: 0.5632, Val F1: 0.3729, Test F1: 0.3514
Epoch 0, Loss: 2.4741, Train F1: 0.5632, Val F1: 0.3729, Test F1: 0.3514
*Epoch 1, model saved with Loss: 2.1389, Train F1: 0.6552, Val F1: 0.5932, Test F1: 0.4324
*Epoch 2, model saved with Loss: 1.2638, Train F1: 0.6552, Val F1: 0.5932, Test F1: 0.5135
*Epoch 3, model saved with Loss: 1.8303, Train F1: 0.6782, Val F1: 0.5932, Test F1: 0.5135
*Epoch 6, model saved with Loss: 1.3914, Train F1: 0.8391, Val F1: 0.5932, Test F1: 0.5135
*Epoch 7, model saved with Loss: 1.2015, Train F1: 0.8851, Val F1: 0.6271, Test F1: 0.5135
*Epoch 10, model saved with Loss: 0.9881, Train F1: 0.8851, Val F1: 0.6441, Test F1: 0.5946
*Epoch 11, model saved with Loss: 0.8315, Train F1: 0.9080, Val F1: 0.6441, Test F1: 0.5946
*Epoch 12, model saved with Loss: 0.8009, Train F1: 0.9425, Val F1: 0.6780, Test F1: 0.6486
*Epoch 13, model saved with Loss: 0.7347, Train F1: 0.9425, Val F1: 0.6780, Test F1: 0.6486
*Epoch 14, model saved with Loss: 0.6976, Train F1: 0.9425, Val F1: 0.6949, Test F1: 0.6486
*Epoch 17, model saved with Loss: 0.5754, Train F1: 0.9540, Val F1: 0.6949, Test F1: 0.6757
*Epoch 18, model saved with Loss: 0.5518, Train F1: 0.9655, Val F1: 0.6949, Test F1: 0.6757
*Epoch 19, model saved with Loss: 0.5383, Train F1: 0.9655, Val F1: 0.6949, Test F1: 0.6757
*Epoch 21, model saved with Loss: 0.4800, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.7027
*Epoch 22, model saved with Loss: 0.4732, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.7027
*Epoch 23, model saved with Loss: 0.4265, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.7297
*Epoch 24, model saved with Loss: 0.4241, Train F1: 0.9885, Val F1: 0.7119, Test F1: 0.7297
*Epoch 25, model saved with Loss: 0.4032, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7297
*Epoch 26, model saved with Loss: 0.4036, Train F1: 1.0000, Val F1: 0.7288, Test F1: 0.7297
*Epoch 27, model saved with Loss: 0.3894, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 28, model saved with Loss: 0.4101, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 29, model saved with Loss: 0.3332, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 34, model saved with Loss: 0.2864, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 35, model saved with Loss: 0.2777, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 36, model saved with Loss: 0.2627, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 85, model saved with Loss: 0.0792, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 86, model saved with Loss: 0.0852, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 87, model saved with Loss: 0.0737, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 88, model saved with Loss: 0.0762, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 89, model saved with Loss: 0.1143, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 90, model saved with Loss: 0.0660, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 91, model saved with Loss: 0.0818, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 92, model saved with Loss: 0.0593, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 93, model saved with Loss: 0.0797, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
Epoch 100, Loss: 0.0561, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7027
*Epoch 112, model saved with Loss: 0.0505, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 118, model saved with Loss: 0.0633, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 124, model saved with Loss: 0.0470, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 125, model saved with Loss: 0.0509, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 126, model saved with Loss: 0.0505, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 127, model saved with Loss: 0.0548, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 128, model saved with Loss: 0.0700, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 129, model saved with Loss: 0.1223, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 145, model saved with Loss: 0.1026, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 146, model saved with Loss: 0.1478, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 147, model saved with Loss: 0.0935, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 148, model saved with Loss: 0.0650, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 149, model saved with Loss: 0.0811, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
Epoch 200, Loss: 0.0455, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
Mean epoch time of run 0.0122
Iteration:  250
Best Test F1 throughout: 0.7297
Loading best model for final evaluation at val: 0.7797
Best Test F1 after loading saved model: 0.7027
Run: 2
*Epoch 0, model saved with Loss: 2.3818, Train F1: 0.5057, Val F1: 0.5424, Test F1: 0.4054
Epoch 0, Loss: 2.3818, Train F1: 0.5057, Val F1: 0.5424, Test F1: 0.4054
*Epoch 1, model saved with Loss: 1.3714, Train F1: 0.6437, Val F1: 0.5763, Test F1: 0.4595
*Epoch 5, model saved with Loss: 1.4172, Train F1: 0.8046, Val F1: 0.6271, Test F1: 0.5135
*Epoch 11, model saved with Loss: 0.8433, Train F1: 0.9310, Val F1: 0.6610, Test F1: 0.5946
*Epoch 12, model saved with Loss: 0.7865, Train F1: 0.9310, Val F1: 0.6610, Test F1: 0.6216
*Epoch 13, model saved with Loss: 0.7121, Train F1: 0.9310, Val F1: 0.7288, Test F1: 0.6216
*Epoch 32, model saved with Loss: 0.3281, Train F1: 1.0000, Val F1: 0.7288, Test F1: 0.7838
*Epoch 33, model saved with Loss: 0.2995, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7838
*Epoch 34, model saved with Loss: 0.2913, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7838
*Epoch 35, model saved with Loss: 0.2688, Train F1: 0.9770, Val F1: 0.7458, Test F1: 0.7838
*Epoch 38, model saved with Loss: 0.2358, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.8108
*Epoch 39, model saved with Loss: 0.2729, Train F1: 0.9885, Val F1: 0.7797, Test F1: 0.8108
*Epoch 41, model saved with Loss: 0.2066, Train F1: 0.9885, Val F1: 0.7797, Test F1: 0.8108
*Epoch 42, model saved with Loss: 0.2148, Train F1: 0.9885, Val F1: 0.7966, Test F1: 0.8108
*Epoch 44, model saved with Loss: 0.2281, Train F1: 1.0000, Val F1: 0.7966, Test F1: 0.8108
Epoch 100, Loss: 0.0721, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7838
*Epoch 125, model saved with Loss: 0.0498, Train F1: 1.0000, Val F1: 0.7966, Test F1: 0.7297
Epoch 200, Loss: 0.0492, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7838
*Epoch 237, model saved with Loss: 0.0420, Train F1: 1.0000, Val F1: 0.7966, Test F1: 0.7568
*Epoch 238, model saved with Loss: 0.0407, Train F1: 1.0000, Val F1: 0.7966, Test F1: 0.7568
*Epoch 239, model saved with Loss: 0.0447, Train F1: 1.0000, Val F1: 0.7966, Test F1: 0.7568
Mean epoch time of run 0.0120
Iteration:  250
Best Test F1 throughout: 0.8108
Loading best model for final evaluation at val: 0.7966
Best Test F1 after loading saved model: 0.7568
Run: 3
*Epoch 0, model saved with Loss: 2.4006, Train F1: 0.4713, Val F1: 0.2881, Test F1: 0.2703
Epoch 0, Loss: 2.4006, Train F1: 0.4713, Val F1: 0.2881, Test F1: 0.2703
*Epoch 1, model saved with Loss: 1.4299, Train F1: 0.6322, Val F1: 0.5254, Test F1: 0.5135
*Epoch 4, model saved with Loss: 1.0644, Train F1: 0.7586, Val F1: 0.5254, Test F1: 0.4595
*Epoch 5, model saved with Loss: 1.6018, Train F1: 0.8276, Val F1: 0.5254, Test F1: 0.4595
*Epoch 6, model saved with Loss: 1.4357, Train F1: 0.8621, Val F1: 0.6102, Test F1: 0.4595
*Epoch 7, model saved with Loss: 1.2786, Train F1: 0.8736, Val F1: 0.6271, Test F1: 0.4865
*Epoch 8, model saved with Loss: 1.1868, Train F1: 0.8966, Val F1: 0.6441, Test F1: 0.4595
*Epoch 10, model saved with Loss: 0.9984, Train F1: 0.9310, Val F1: 0.6441, Test F1: 0.5135
*Epoch 13, model saved with Loss: 0.7887, Train F1: 0.9425, Val F1: 0.6441, Test F1: 0.5405
*Epoch 14, model saved with Loss: 0.7109, Train F1: 0.9310, Val F1: 0.6610, Test F1: 0.5676
*Epoch 15, model saved with Loss: 0.6700, Train F1: 0.9540, Val F1: 0.6610, Test F1: 0.6216
*Epoch 16, model saved with Loss: 0.6281, Train F1: 0.9540, Val F1: 0.6610, Test F1: 0.6216
*Epoch 17, model saved with Loss: 0.6144, Train F1: 0.9655, Val F1: 0.6610, Test F1: 0.6216
*Epoch 18, model saved with Loss: 0.5950, Train F1: 0.9655, Val F1: 0.6780, Test F1: 0.6486
*Epoch 19, model saved with Loss: 0.5413, Train F1: 0.9655, Val F1: 0.6780, Test F1: 0.6486
*Epoch 20, model saved with Loss: 0.5562, Train F1: 0.9655, Val F1: 0.6780, Test F1: 0.6486
*Epoch 22, model saved with Loss: 0.4568, Train F1: 0.9885, Val F1: 0.6780, Test F1: 0.6757
*Epoch 23, model saved with Loss: 0.4891, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.6757
*Epoch 24, model saved with Loss: 0.4034, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.6757
*Epoch 26, model saved with Loss: 0.4123, Train F1: 0.9885, Val F1: 0.6949, Test F1: 0.6757
*Epoch 27, model saved with Loss: 0.3912, Train F1: 1.0000, Val F1: 0.6949, Test F1: 0.7027
*Epoch 31, model saved with Loss: 0.3576, Train F1: 1.0000, Val F1: 0.6949, Test F1: 0.7027
*Epoch 32, model saved with Loss: 0.3135, Train F1: 1.0000, Val F1: 0.6949, Test F1: 0.7027
*Epoch 33, model saved with Loss: 0.2960, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
*Epoch 37, model saved with Loss: 0.3001, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
*Epoch 38, model saved with Loss: 0.2991, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7297
*Epoch 39, model saved with Loss: 0.2658, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7297
*Epoch 40, model saved with Loss: 0.2722, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 41, model saved with Loss: 0.2377, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 42, model saved with Loss: 0.2687, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 43, model saved with Loss: 0.2361, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 44, model saved with Loss: 0.2298, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 45, model saved with Loss: 0.2156, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 46, model saved with Loss: 0.2330, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 47, model saved with Loss: 0.2070, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 48, model saved with Loss: 0.2056, Train F1: 0.9885, Val F1: 0.7797, Test F1: 0.7297
*Epoch 67, model saved with Loss: 0.1784, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 68, model saved with Loss: 0.1785, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 69, model saved with Loss: 0.1728, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 70, model saved with Loss: 0.1476, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 73, model saved with Loss: 0.2227, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 74, model saved with Loss: 0.1344, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 75, model saved with Loss: 0.1493, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 76, model saved with Loss: 0.1809, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 91, model saved with Loss: 0.1085, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 92, model saved with Loss: 0.1178, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 93, model saved with Loss: 0.1655, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 94, model saved with Loss: 0.0795, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 95, model saved with Loss: 0.1135, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 96, model saved with Loss: 0.1113, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 97, model saved with Loss: 0.0875, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
Epoch 100, Loss: 0.2121, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7568
*Epoch 113, model saved with Loss: 0.1072, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 114, model saved with Loss: 0.0748, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 134, model saved with Loss: 0.0561, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 135, model saved with Loss: 0.0518, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 136, model saved with Loss: 0.0612, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 137, model saved with Loss: 0.0639, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 138, model saved with Loss: 0.0627, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 139, model saved with Loss: 0.0570, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 140, model saved with Loss: 0.0675, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
Epoch 200, Loss: 0.0544, Train F1: 1.0000, Val F1: 0.7288, Test F1: 0.7568
Mean epoch time of run 0.0120
Iteration:  250
Best Test F1 throughout: 0.7568
Loading best model for final evaluation at val: 0.7797
Best Test F1 after loading saved model: 0.7297
Run: 4
*Epoch 0, model saved with Loss: 1.6128, Train F1: 0.5172, Val F1: 0.5254, Test F1: 0.4865
Epoch 0, Loss: 1.6128, Train F1: 0.5172, Val F1: 0.5254, Test F1: 0.4865
*Epoch 1, model saved with Loss: 1.3591, Train F1: 0.5862, Val F1: 0.5424, Test F1: 0.4595
*Epoch 3, model saved with Loss: 1.8934, Train F1: 0.6322, Val F1: 0.5424, Test F1: 0.5135
*Epoch 4, model saved with Loss: 1.7175, Train F1: 0.7241, Val F1: 0.5763, Test F1: 0.5135
*Epoch 5, model saved with Loss: 0.9238, Train F1: 0.7816, Val F1: 0.5763, Test F1: 0.5135
*Epoch 6, model saved with Loss: 1.4282, Train F1: 0.8276, Val F1: 0.5763, Test F1: 0.4865
*Epoch 7, model saved with Loss: 1.3048, Train F1: 0.8621, Val F1: 0.5763, Test F1: 0.5135
*Epoch 8, model saved with Loss: 1.2321, Train F1: 0.8621, Val F1: 0.5763, Test F1: 0.4865
*Epoch 9, model saved with Loss: 1.1225, Train F1: 0.8851, Val F1: 0.5763, Test F1: 0.4865
*Epoch 10, model saved with Loss: 1.0066, Train F1: 0.9310, Val F1: 0.5932, Test F1: 0.4595
*Epoch 11, model saved with Loss: 0.9053, Train F1: 0.9310, Val F1: 0.6271, Test F1: 0.4595
*Epoch 12, model saved with Loss: 0.8933, Train F1: 0.9540, Val F1: 0.6271, Test F1: 0.5135
*Epoch 13, model saved with Loss: 0.7737, Train F1: 0.9540, Val F1: 0.6441, Test F1: 0.5135
*Epoch 14, model saved with Loss: 0.6781, Train F1: 0.9540, Val F1: 0.6441, Test F1: 0.5405
*Epoch 15, model saved with Loss: 0.6769, Train F1: 0.9655, Val F1: 0.6441, Test F1: 0.5405
*Epoch 16, model saved with Loss: 0.6136, Train F1: 0.9655, Val F1: 0.6610, Test F1: 0.5405
*Epoch 21, model saved with Loss: 0.4924, Train F1: 0.9885, Val F1: 0.6610, Test F1: 0.7027
*Epoch 25, model saved with Loss: 0.4259, Train F1: 1.0000, Val F1: 0.6610, Test F1: 0.7027
*Epoch 26, model saved with Loss: 0.3647, Train F1: 1.0000, Val F1: 0.6780, Test F1: 0.7027
*Epoch 27, model saved with Loss: 0.3354, Train F1: 1.0000, Val F1: 0.6949, Test F1: 0.7027
*Epoch 28, model saved with Loss: 0.3483, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
*Epoch 29, model saved with Loss: 0.3181, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
*Epoch 30, model saved with Loss: 0.3140, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.7027
*Epoch 31, model saved with Loss: 0.3258, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.6757
*Epoch 32, model saved with Loss: 0.3257, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.6757
*Epoch 33, model saved with Loss: 0.2721, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.6757
*Epoch 34, model saved with Loss: 0.2867, Train F1: 1.0000, Val F1: 0.7119, Test F1: 0.6757
*Epoch 35, model saved with Loss: 0.2765, Train F1: 1.0000, Val F1: 0.7458, Test F1: 0.7297
*Epoch 36, model saved with Loss: 0.2720, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 37, model saved with Loss: 0.2561, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 39, model saved with Loss: 0.2858, Train F1: 0.9885, Val F1: 0.7627, Test F1: 0.7297
*Epoch 40, model saved with Loss: 0.2398, Train F1: 0.9885, Val F1: 0.7627, Test F1: 0.7297
*Epoch 41, model saved with Loss: 0.2365, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 42, model saved with Loss: 0.2168, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 43, model saved with Loss: 0.2084, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 44, model saved with Loss: 0.2462, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 47, model saved with Loss: 0.2043, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 48, model saved with Loss: 0.1989, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 49, model saved with Loss: 0.1964, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 50, model saved with Loss: 0.1912, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 51, model saved with Loss: 0.1911, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 68, model saved with Loss: 0.1403, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 69, model saved with Loss: 0.1369, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 70, model saved with Loss: 0.1249, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 71, model saved with Loss: 0.1474, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 72, model saved with Loss: 0.1330, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 73, model saved with Loss: 0.1118, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
*Epoch 80, model saved with Loss: 0.1523, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7027
